,0
0,"
No, this text does not contain violence."
1,"
No, this text does not contain violence."
2,"
No, this text does not contain violence."
3,"
No, this text does not contain violence."
4,"
No, this text does not contain violence."
5,"
No, this text does not contain violence."
6,"
No, this text does not contain violence."
7,"
No, this text does not contain violence."
8,"
No, this text does not contain violence."
9,"
No, this text does not contain violence."
10,"
No, this text does not contain violence."
11,"
No, this text does not contain violence."
12,"
No, this text does not contain violence."
13,"
No, this text does not contain violence."
14,"
Yes, this text contains violence."
15,"
No, this text does not contain violence."
16,"
Yes, this text contains violence."
17,"
Yes, this text contains violence."
18,"
Yes, this text contains violence."
19,"
Yes, this text contains violence."
20,"
No, this text does not contain violence."
21,"
No, this text does not contain violence."
22,"
Yes, this text contains violence."
23,"
Yes, this text contains violence."
24,"
Yes, this text contains violence."
25,"
No, this text does not contain violence."
26,"
No, this text does not contain violence."
27,"
No, this text does not contain violence."
28,"
No, this text does not contain violence."
29,"
No, this text does not contain violence."
30,"
No, this text does not contain violence."
31,"
No, this text does not contain violence."
32,"
No, this text does not contain violence."
33,"
No, this text does not contain violence."
34,"
No, this text does not contain violence."
35,"
No, this text does not contain violence."
36,"
No, this text does not contain violence."
37,"
No, this text does not contain violence."
38,"
No, this text does not contain violence."
39,"
No, this text does not contain violence."
40,"
No, this text does not contain violence."
41,"
No, this text does not contain violence."
42,"
No, this text does not contain violence."
43,"
No, this text does not contain violence."
44,"
No, this text does not contain violence."
45,"
Yes, this text contains violence."
46,"
No, this text does not contain violence."
47,"
No, this text does not contain violence."
48,"
No, this text does not contain violence."
49,"
Yes, this text contains violence."
50,"
Yes, this text contains violence."
51,"
No, this text does not contain violence."
52,"
Yes, this text contains violence."
53,"
Yes, this text contains violence."
54,"
No, this text does not contain violence."
55,"
No, this text does not contain violence."
56,"
No, this text does not contain violence."
57,"
No, this text does not contain violence."
58,"
No, this text does not contain violence."
59,"
No, this text does not contain violence."
60,"
No, this text does not contain violence."
61,"
No, this text does not contain violence."
62,"
No, this text does not contain violence."
63,"
No, this text does not contain violence."
64,"
No, this text does not contain violence."
65,"
No, this text does not contain violence."
66,"
No, this text does not contain violence."
67,"
No, this text does not contain violence."
68,"
No, this text does not contain violence."
69,"
No, this text does not contain violence."
70,"
No, this text does not contain violence."
71,"
No, this text does not contain violence."
72,"
No, this text does not contain violence."
73,"
No, this text does not contain violence."
74,"
No, this text does not contain violence."
75,"
No, this text does not contain violence."
76,"
No, this text does not contain violence."
77,"
No, this text does not contain violence."
78,"
No, this text does not contain violence."
79,"
No, this text does not contain violence."
80,"
No, this text does not contain violence."
81,"
No, this text does not contain violence."
82,"
No, this text does not contain violence."
83,"
No, this text does not contain violence."
84,"
No, this text does not contain violence."
85,"
No, this text does not contain violence."
86,"
No, this text does not contain violence."
87,"
No, this text does not contain violence."
88,"
No, this text does not contain violence."
89,"
No, this text does not contain violence."
90,"
No, this text does not contain violence."
91,"
No, this text does not contain violence."
92,"
No, this text does not contain violence."
93,"
No, this text does not contain violence."
94,"
No, this text does not contain violence."
95,"
No, this text does not contain violence."
96,"
No, this text does not contain violence."
97,"
No, this text does not contain violence."
98,"
No, this text does not contain violence."
99,"
No, this text does not contain violence."
100,"
No, this text does not contain violence."
101,"
Yes, this text contains violence."
102,"
No, this text does not contain violence."
103,"
No, this text does not contain violence."
